HexCode,IntCode,Name,Message
0x80060486,-2147089274,"LegacyWorkflowExpressionNotYetSupportedForAutomaticConversion","Async Workflow '{0}' cannot be converted because expressions of type '{1}' are currently not supported for automatic conversion."
0x80060482,-2147089278,"LegacyWorkflowExpressionOperatorNotYetSupportedForAutomaticConversion","Async Workflow '{0}' cannot be converted because because expression operator '{1}' is currently not supported for automatic conversion."
0x80060484,-2147089276,"LegacyWorkflowExpressionParameterTypeNotYetSupportedForAutomaticConversion","Async Workflow '{0}' cannot be converted because expression parameters of type '{1}' are currently not supported for automatic conversion."
0x80060481,-2147089279,"LegacyWorkflowStepNotYetSupportedForAutomaticConversion","Async Workflow '{0}' cannot be converted because step type '{1}' is currently not supported for automatic conversion."
0x80060485,-2147089275,"LegacyWorkflowWithNoTriggersNotYetSupportedForAutomaticConversion","Async Workflow '{0}' cannot be converted because converting workflows with no trigger conditions is not yet supported."
0x800608CF,-2147088177,"LegacyXlsxFileNotSupported","Legacy .xlsx files cannot be used for Excel Templates."
0x8004D250,-2147167664,"LicenseConfigFileInvalid","The provided configuration file {0} has invalid formatting."
0x80042f14,-2147209452,"LicenseNotEnoughToActivate","There are not enough licenses available for the number of users being activated."
0x8004415d,-2147204771,"LicenseRegistrationExpired","The registration period for Microsoft Dynamics 365 has expired."
0x8004415f,-2147204769,"LicenseTampered","The licensing for this installation of Microsoft Dynamics 365 has been tampered with. The system is unusable. Please contact Microsoft Product Support Services."
0x8004415c,-2147204772,"LicenseTrialExpired","The trial installation of Microsoft Dynamics 365 has expired."
0x8004D247,-2147167673,"LicenseUpgradePathNotAllowed","Cannot upgrade to specified license type."
0x80090440,-2146892736,"LinkedAttributeGlobalOptionSetIdMismatch","Id of Global OptionSet being used for linked attribute for attribute {0} of entity {1} and attribute {2} of entity {3} does not match."
0x80090437,-2146892745,"LinkedAttributeOptionSetCountMismatch","Options count for linked attribute for attribute {0} of entity {1} and attribute {2} of entity {3} does not match."
0x80090436,-2146892746,"LinkedAttributeOptionSetIsGlobalMismatch","IsGlobal value of option set for linked attribute {0} of entity {1} and attribute {2} of entity {3} does not match."
